Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
El Chalten,El Chalten,Argentina,ELX,\N,-49.328889,-72.93,1279,-3,N
Chenega Bay Airport,Chenega,United States,NCN,PFCB,60.07730103,-147.9920044,72,-9,A
Chisana Airport,Chisana,United States,CZN,\N,62.071111,-142.048333,1011,-9,A
Tok Junction Airport,Tok,United States,TKJ,PFTO,63.32949829,-142.9539948,1639,-9,A
Circle City /New/ Airport,Circle,United States,IRC,PACR,65.830498,-144.076008,613,-9,A
Coffman Cove Seaplane Base,Coffman Cove,United States,KCC,\N,56.014722,-132.833889,0,-9,A
Crooked Creek Airport,Crooked Creek,United States,CKD,\N,61.867778,-158.135,178,-9,A
Red Devil Airport,Red Devil,United States,RDV,\N,61.788056,-157.350278,174,-9,A
Sleetmute Airport,Sleetmute,United States,SLQ,PASL,61.70050049,-157.1660004,190,-9,A
Stony River 2 Airport,Stony River,United States,SRV,\N,61.7875,-156.591111,230,-9,A
Healy River Airport,Healy,United States,HKB,PAHV,63.86619949,-148.9689941,1263,-9,A
Kake Seaplane Base,Kake,United States,KAE,\N,56.973056,-133.945556,0,-9,A
Klawock Seaplane Base,Klawock,United States,AQC,PAQC,55.55469894,-133.102005,0,-9,A
Minchumina Airport,Lake Minchumina,United States,MHM,PAMH,63.88600159,-152.302002,678,-9,A
Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,PAML,64.99759674,-150.6439972,270,-9,A
St. George Airport,St. George,United States,\N,\N,56.577222,-169.663611,125,-9,A
Tatitlek Airport,Tatitlek,United States,TEK,\N,60.8725,-146.691111,62,-9,A
Ketchikan harbor Seaplane Base,Ketchikan,United States,WFB,\N,55.344444,-131.663333,0,-9,A
Fox Harbour Airport,Fox Harbour,Canada,\N,\N,45.87,-63.461111,62,-4,A
Natuashish Airport,Natuashish,Canada,\N,CNH2,55.913898,-61.184399,30,-4,A
Postville Airport,Postville,Canada,YSO,CCD4,54.9105,-59.78507,193,-4,A
Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,YWB,CYKG,61.58860016,-71.92939758,501,-5,A
Alma Airport,Alma,Canada,YTF,CYTF,48.50889969,-71.64189911,445,-5,A
Havre St Pierre Airport,Havre-Saint-Pierre,Canada,YGV,CYGV,50.2818985,-63.6114006,124,-5,A
Rimouski Airport,Rimouski,Canada,YXK,CYXK,48.47809982,-68.49690247,82,-5,A
Vakarufahli Island,Vakarufahli Island,Maldives,\N,\N,3.578742,72.902075,0,5,U
Vakarufalhi Island,Vakarufalhi Island,Maldives,\N,\N,3.578742,72.902075,0,5,N
Tadoule Lake Airport,Tadoule Lake,Canada,XTL,CYBQ,58.7061,-98.512199,923,-6,A
Lac Brochet Airport,Lac Brochet,Canada,XLB,CZWH,58.61750031,-101.4690018,1211,-6,A
South Indian Lake Airport,South Indian Lake,Canada,XSI,CZSN,56.7928009,-98.90720367,951,-6,A
Brochet Airport,Brochet,Canada,YBT,CYBT,57.8894,-101.679001,1136,-6,A
Little Grand Rapids Airport,Little Grand Rapids,Canada,ZGR,CZGR,52.04560089,-95.46579742,1005,-6,A
Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,Canada,YCR,CYCR,54.61059952,-97.76080322,709,-6,A
Red Sucker Lake Airport,Red Sucker Lake,Canada,YRS,CYRS,54.16719818,-93.55719757,729,-6,A
Rainbow Lake Airport,Rainbow Lake,Canada,YOP,CYOP,58.49140167,-119.4079971,1759,-7,A
Bonnyville Airport,Bonnyville,Canada,YBY,CYBF,54.304199,-110.744003,1836,-7,A
Nanaimo Harbour Water Airport,Nanaimo,Canada,ZNA,CAC8,49.18330002,-123.9499969,0,-8,A
Ganges Seaplane Base,Ganges,Canada,YGG,CAX6,48.8545,-123.4969,0,-8,A
Bedwell Harbour Water Aerdrome,Bedwell Harbour,Canada,\N,\N,48.75,-123.233333,0,-8,A
Qualicum Beach Airport,Qualicum Beach,Canada,XQU,\N,49.337222,-124.393889,191,-8,A
Fort St James Airport,Fort St. James,Canada,YJM,CYJM,54.39720154,-124.2630005,2364,-8,A
